Date,Price
1/4/2010,54.46
1/5/2010,54.04
1/6/2010,53.31
1/7/2010,53.7
1/8/2010,53.65
1/11/2010,54.06
1/12/2010,54.36
1/13/2010,54.3
1/14/2010,54.35
1/15/2010,54.03
1/19/2010,55.07
1/20/2010,54.66
1/21/2010,54.83
1/22/2010,54.99
1/25/2010,54.73
1/26/2010,55.35
1/27/2010,55.29
1/28/2010,54.5
1/29/2010,54.16
2/1/2010,55.42
2/2/2010,55.55
2/3/2010,56.57
2/4/2010,55.57
2/5/2010,54.97
2/8/2010,54.58
2/9/2010,55.15
2/10/2010,54.87
2/11/2010,55.34
2/12/2010,55.16
2/16/2010,55.53
2/17/2010,55.74
2/18/2010,55.94
2/19/2010,56.16
2/22/2010,56.19
2/23/2010,56.27
2/24/2010,56.61
2/25/2010,56.32
2/26/2010,55.86
3/1/2010,55.97
3/2/2010,56.05
3/3/2010,55.67
3/4/2010,55.49
3/5/2010,55.7
3/8/2010,56.97
3/9/2010,56.95
3/10/2010,56.81
3/11/2010,57.05
3/12/2010,57.33
3/15/2010,57.68
3/16/2010,57.8
3/17/2010,58.07
3/18/2010,58.34
3/19/2010,58.2
3/22/2010,58.62
3/23/2010,58.92
3/24/2010,58.44
3/25/2010,58.53
3/26/2010,58.84
3/29/2010,58.68
3/30/2010,58.83
3/31/2010,58.37
4/1/2010,59.12
4/5/2010,59.52
4/6/2010,59.32
4/7/2010,59.23
4/8/2010,60.16
4/9/2010,60.09
4/12/2010,59.95
4/13/2010,60.3
4/14/2010,60.73
4/15/2010,60.51
4/16/2010,60.39
4/19/2010,61.17
4/20/2010,61.54
4/21/2010,61.56
4/22/2010,62.14
4/23/2010,62.25
4/26/2010,62.13
4/27/2010,61.7
4/28/2010,61.54
4/29/2010,62.57
4/30/2010,61.76
5/3/2010,62.48
5/4/2010,61.8
5/5/2010,61.82
5/6/2010,60.73
5/7/2010,59.5
5/10/2010,61.75
5/11/2010,61.66
5/12/2010,61.83
5/13/2010,61.68
5/14/2010,60.88
5/17/2010,61.36
5/18/2010,61.26
5/19/2010,60.72
5/20/2010,59.19
5/21/2010,59.37
5/24/2010,59.19
5/25/2010,59.35
5/26/2010,57.75
5/27/2010,59.28
5/28/2010,58.99
6/1/2010,58.54
6/2/2010,59.79
6/3/2010,59.86
6/4/2010,58.84
6/7/2010,58.89
6/8/2010,60.33
6/9/2010,60.22
6/10/2010,61.2
6/11/2010,61.35
6/14/2010,61.14
6/15/2010,62.11
6/16/2010,62.01
6/17/2010,61.8
6/18/2010,61.65
6/21/2010,61.68
6/22/2010,60.56
6/23/2010,60.55
6/24/2010,59.75
6/25/2010,59.48
6/28/2010,59.4
6/29/2010,58.63
6/30/2010,58.11
7/1/2010,58.85
7/2/2010,58.35
7/6/2010,58.32
7/7/2010,59.38
7/8/2010,60.89
7/9/2010,61.07
7/12/2010,61.7
7/13/2010,62.5
7/14/2010,62.55
7/15/2010,62.93
7/16/2010,61.7
7/19/2010,61.68
7/20/2010,62.52
7/21/2010,61.85
7/22/2010,62.99
7/23/2010,61.67
7/26/2010,62.52
7/27/2010,62.11
7/28/2010,61.55
7/29/2010,61.21
7/30/2010,61.52
8/2/2010,61.98
8/3/2010,62.15
8/4/2010,62.36
8/5/2010,62.15
8/6/2010,63.29
8/9/2010,64.33
8/10/2010,64.26
8/11/2010,63.14
8/12/2010,63.57
8/13/2010,63.42
8/16/2010,63.33
8/17/2010,64.6
8/18/2010,64.62
